Cycle	Length, mm
209	10,7125
28633	10,76900106
30305	10,82550211
34067	10,87897633
35321	10,93648633
37829	11,00206791
40128	11,07269423
42317	11,12415055
43890	11,19275898
46607	11,27246582
48565	11,33098477
50369	11,38345004
52162	11,43995109
53922	11,4974611
55385	11,57313216
57893	11,63467795
59565	11,68815216
60192	11,74465322
62491	11,81830638
63745	11,86875375
65417	11,92424586
66880	11,99689007
68343	12,05540903
69179	12,13108008
70433	12,19666166
72523	12,25518062
73568	12,32378904
75097	12,37524536
76494	12,46201484
79211	12,52961432
80003	12,58006169
81301	12,64463432
82555	12,72030538
83809	12,78286012
84436	12,83532539
86097	12,89586223
87362	12,9674975
87989	13,04821329
89397	13,10471435
91751	13,15516172
92169	13,20863593
93423	13,27522646
95095	13,32870068
96558	13,40235384
97812	13,46894437
99275	13,56176753
101189	13,61826859
103037	13,68082333
103873	13,75548544
105754	13,81400439
107426	13,87756808
109032	13,92801545
109307	13,98148966
110286	14,03193703
113278	14,09650967
115368	14,18327915
116985	14,23574441
118085	14,30031705
121220	14,37598811
121638	14,42845337
123937	14,47890074
125818	14,54448233
126863	14,60703707
128117	14,66353812
128744	14,72911971
130416	14,78461182
131670	14,84615761
132297	14,92283761
133342	14,98034762
134563	15,06812604
135850	15,1417792
136268	15,19626237
137511	15,27193342
138358	15,33247027
139194	15,38796238
140030	15,4394187
140657	15,5140808
141493	15,56856397
142538	15,62708292
143088	15,68661081
143583	15,74008503
144419	15,79961293
145255	15,86418556
145882	15,91564188
146509	15,97416083
147345	16,03974241
148181	16,09018979
149017	16,15778926
149644	16,21630821
150271	16,27180032
151107	16,33334612
151525	16,39085612
152152	16,45139296
152779	16,50184034
153615	16,5734756
154451	16,63098561
155287	16,6925314
155914	16,75811298
156541	16,81562299
156959	16,88120457
158213	16,95283984
158631	17,01135879
159885	17,07794932
160303	17,14453985
160930	17,20709459
162184	17,26964933
162602	17,32312354
163438	17,38366039
164274	17,4371346
164692	17,51885934
165737	17,5753604
166221	17,64396882
166991	17,70652356
167409	17,76100672
168036	17,83465989
169081	17,89721463
169642	17,96178726
170962	18,03039569
171380	18,10606674
171677	18,16660359
172843	18,22411359
173888	18,28868623
174515	18,34316939
175142	18,39361676
175978	18,44709097
176396	18,49955624
176814	18,55303045
177650	18,62668362
178585	18,68923836
179531	18,74876626
179949	18,80728521
180994	18,88396521
181830	18,95257364
182248	19,05044154
182985	19,10088891
183711	19,15234523
184382	19,20380154
184965	19,2623205
185592	19,31478576
186219	19,39247471
186846	19,46612788
187473	19,53978104
188078	19,61141631
188518	19,66489052
188936	19,72845421
189563	19,80210737
189772	19,86365316
190344	19,91712738
190817	19,99178949
191235	20,07149633
191653	20,12497055
192071	20,18046265
192489	20,25714266
192907	20,31566161
193325	20,37418056
193545	20,42664583
193952	20,48617372
194370	20,56688952
194964	20,63953373
195415	20,69300795
195833	20,749509
196394	20,84334111
197087	20,92708375
197505	20,99165639
198550	21,05421113
198968	21,11373902
199386	21,19748166
200013	21,25196482
200431	21,3387343
200849	21,41440536
201102	21,46787957
201476	21,53951484
201894	21,60913221
202103	21,66361537
202521	21,72818801
202939	21,82202012
203258	21,87852117
203775	21,95822802
203984	22,02481855
204193	22,08636434
204611	22,16102645
205029	22,26595699
205447	22,35373541
205865	22,43041542
206074	22,48691647
206283	22,54139963
206569	22,60092753
206910	22,67357175
207537	22,74117122
207702	22,80372596
207955	22,87334334
208373	22,98836334
208582	23,06504335
208791	23,13466072
209000	23,19015283
209209	23,25270757
209473	23,32232494
209836	23,41313021
210045	23,46963127
210254	23,53521285
210463	23,60583917
210672	23,68453707
210859	23,74406497
211090	23,83285234
211299	23,90246971
211475	23,95291708
211717	24,05482077
211926	24,15268867
212135	24,22331499
212344	24,2788071
212553	24,35044237
212762	24,42106869
212850	24,47151606
213180	24,53104396
213598	24,63294765
213807	24,69550239
214016	24,7701645
214225	24,86399661
214434	24,97498083
214643	25,09100978
214841	25,20098505
215061	25,28977242
215270	25,37553296
215468	25,5167856
215600	25,62575192
215688	25,69940508
215864	25,83561298
216018	25,94256141
216106	26,00713404
216271	26,16452984
216315	26,21497721
216370	26,27349617
216480	26,3784267
216601	26,48335723
216733	26,57920724
216898	26,69523619
217030	26,79713988
217140	26,90005252
217228	27,01002779
217305	27,11899411
217360	27,19668306
217459	27,33188202
217547	27,44185729
217613	27,54779677
217690	27,65878098
217756	27,76572941
217822	27,88478521
217877	28,003841
217932	28,12491469
217976	28,23892575
218020	28,35495471
218064	28,48006419
218097	28,58297683
218130	28,69698788
218163	28,82310631
218276	28,8675
