Cycle	Length, mm
50	14,11176
86	14,12557
136	14,13093
186	14,14322
236	14,14906
286	14,15668
336	14,16714
386	14,16936
436	14,17866
486	14,17876
536	14,18559
586	14,18569
636	14,19156
686	14,20549
736	14,21236
786	14,22397
836	14,22407
886	14,2324
936	14,23901
986	14,24746
1036	14,24947
1086	14,25209
1136	14,26078
1186	14,26759
1236	14,27765
1286	14,27775
1336	14,2883
1386	14,29177
1436	14,30381
1486	14,30391
1536	14,3214
1586	14,3215
1636	14,32279
1686	14,3309
1736	14,33961
1786	14,34695
1836	14,34784
1886	14,35831
1936	14,36328
1986	14,37639
2036	14,37926
2086	14,39128
2136	14,39139
2186	14,39571
2236	14,4109
2286	14,41205
2336	14,42206
2386	14,42363
2436	14,43198
2486	14,43707
2536	14,44433
2586	14,46236
2636	14,46246
2686	14,46892
2736	14,48462
2786	14,48715
2836	14,49534
2886	14,49942
2936	14,51547
2986	14,51771
3036	14,52278
3086	14,53058
3136	14,53882
3186	14,5447
3236	14,55028
3286	14,56273
3336	14,57013
3386	14,57223
3436	14,58543
3486	14,58817
3536	14,59824
3586	14,61076
3636	14,62264
3686	14,62274
3736	14,6325
3786	14,63972
3836	14,64295
3886	14,64723
3936	14,66936
3986	14,67358
4036	14,67612
4086	14,69228
4136	14,69512
4186	14,69982
4236	14,71829
4286	14,719
4336	14,72661
4386	14,72836
4436	14,74509
4486	14,74816
4536	14,76216
4586	14,76584
4636	14,77654
4686	14,783
4736	14,78589
4786	14,80019
4836	14,80557
4886	14,81865
4936	14,83079
4986	14,83183
5036	14,84062
5086	14,85295
5136	14,86138
5186	14,8662
5236	14,87344
5286	14,88716
5336	14,89531
5386	14,89931
5436	14,91133
5486	14,922
5536	14,93265
5586	14,93843
5636	14,94812
5686	14,95839
5736	14,96542
5786	14,97896
5836	14,97906
5886	14,98794
5936	14,99812
5986	15,01692
6036	15,02413
6086	15,02455
6136	15,03516
6186	15,0478
6236	15,05313
6286	15,06185
6336	15,07272
6386	15,08371
6436	15,09181
6486	15,10046
6536	15,10254
6586	15,11076
6636	15,12691
6686	15,12752
6736	15,14516
6786	15,14526
6836	15,16074
6886	15,1702
6936	15,18085
6986	15,1853
7036	15,19367
7086	15,20676
7136	15,21359
7186	15,22249
7236	15,23263
7286	15,24333
7336	15,25642
7386	15,26063
7436	15,27408
7486	15,27804
7536	15,28958
7586	15,3061
7636	15,31013
7686	15,32139
7736	15,32569
7786	15,34027
7836	15,35099
7886	15,35704
7936	15,36228
7986	15,37488
8036	15,38336
8086	15,39968
8136	15,40615
8186	15,40944
8236	15,42302
8286	15,43254
8336	15,43882
8386	15,46136
8436	15,46559
8486	15,46887
8536	15,48316
8586	15,48761
8636	15,50823
8686	15,50833
8736	15,51181
8786	15,53053
8836	15,53612
8886	15,54821
8936	15,56143
8986	15,56702
9036	15,58615
9086	15,589
9136	15,59495
9186	15,60922
9236	15,6198
9286	15,63228
9336	15,64691
9386	15,65432
9436	15,66113
9486	15,67239
9536	15,68445
9586	15,69104
9636	15,70132
9686	15,70991
9736	15,7253
9786	15,73475
9836	15,73971
9886	15,76011
9936	15,7645
9986	15,78067
10036	15,78895
10086	15,80337
10136	15,81612
10186	15,82218
10236	15,82934
10286	15,84074
10336	15,8531
10386	15,86356
10436	15,87773
10486	15,88798
10536	15,90265
10586	15,90818
10636	15,92296
10686	15,92655
10736	15,9454
10786	15,95351
10836	15,95812
10886	15,97416
10936	15,98301
10986	15,99383
11036	16,00367
11086	16,01861
11136	16,0258
11186	16,03999
11236	16,04936
11286	16,06101
11336	16,07633
11386	16,0889
11436	16,089
11486	16,11046
11536	16,11894
11586	16,12334
11636	16,13509
11686	16,15153
11736	16,16278
11786	16,17258
11836	16,1901
11886	16,1939
11936	16,20613
11986	16,2185
12036	16,23026
12086	16,24012
12136	16,25012
12186	16,26342
12236	16,27363
12286	16,28325
12336	16,29975
12386	16,30547
12436	16,32182
12486	16,33371
12536	16,34309
12586	16,35193
12636	16,37643
12686	16,38223
12736	16,39626
12786	16,40336
12836	16,42307
12886	16,42732
12936	16,44028
12986	16,45651
13036	16,45991
13086	16,47693
13136	16,49211
13186	16,49819
13236	16,50915
13286	16,52703
13336	16,53252
13386	16,54708
13436	16,56026
13486	16,57411
13536	16,5852
13586	16,58844
13636	16,60548
13686	16,61838
13736	16,62935
13786	16,64377
13836	16,65288
13886	16,66484
13936	16,67532
13986	16,68106
14036	16,70325
14086	16,71246
14136	16,72088
14186	16,73607
14236	16,75301
14286	16,76168
14336	16,76984
14386	16,78726
14436	16,79518
14486	16,80519
14536	16,82062
14586	16,8315
14636	16,84445
14686	16,85962
14736	16,87257
14786	16,88426
14836	16,89692
14886	16,90894
14936	16,9242
14986	16,93371
15036	16,95112
15086	16,95912
15136	16,97611
15186	16,98489
15236	17,00377
15286	17,01341
15336	17,02073
15386	17,04072
15436	17,05808
15486	17,07087
15536	17,07873
15586	17,09237
15636	17,11404
15686	17,11946
15736	17,13615
15786	17,15256
15836	17,16228
15886	17,17801
15936	17,19345
15986	17,20311
16036	17,21848
16086	17,23704
16136	17,24426
16186	17,26158
16236	17,28132
16286	17,29141
16336	17,30389
16386	17,31696
