Cycle	Length, mm
16436	17,33547
16486	17,3431
16536	17,36087
16586	17,37606
16636	17,38707
16686	17,40402
16736	17,41523
16786	17,43201
16836	17,44738
16886	17,46206
16936	17,47062
16986	17,49164
17036	17,49951
17086	17,52063
17136	17,53029
17186	17,54715
17236	17,56549
17286	17,57882
17336	17,59939
17386	17,61315
17436	17,62655
17486	17,63592
17536	17,65712
17586	17,67645
17636	17,68795
17686	17,70442
17736	17,71645
17786	17,73471
17836	17,75177
17886	17,76684
17936	17,77793
17986	17,80077
18036	17,81435
18086	17,82939
18136	17,84769
18186	17,86174
18236	17,8779
18286	17,89386
18336	17,91364
18386	17,9195
18436	17,94604
18486	17,96165
18536	17,97371
18586	17,98946
18636	18,00879
18686	18,01873
18736	18,03897
18786	18,04946
18836	18,06858
18886	18,08752
18936	18,10637
18986	18,12214
19036	18,1369
19086	18,1523
19136	18,16476
19186	18,18618
19236	18,20453
19286	18,21622
19336	18,24018
19386	18,26201
19436	18,2716
19486	18,28501
19536	18,30968
19586	18,32403
19636	18,34051
19686	18,36071
19736	18,37617
19786	18,39527
19836	18,40883
19886	18,43309
19936	18,44418
19986	18,46739
20036	18,48306
20086	18,49756
20136	18,51881
20186	18,53933
20236	18,55404
20286	18,5738
20336	18,58851
20386	18,60315
20436	18,62483
20486	18,64535
20536	18,65883
20586	18,68097
20636	18,6988
20686	18,71884
20736	18,73149
20786	18,75671
20836	18,77455
20886	18,79292
20936	18,80982
20986	18,83162
21036	18,85336
21086	18,86435
21136	18,89405
21186	18,90346
21236	18,92014
21286	18,94227
21336	18,96109
21386	18,9831
21436	18,99603
21486	19,01916
21536	19,03811
21586	19,06285
21636	19,07535
21686	19,10098
21736	19,12247
21786	19,13492
21836	19,16421
21886	19,1783
21936	19,19957
21986	19,22155
22036	19,24077
22086	19,2626
22136	19,28312
22186	19,31063
22236	19,31852
22286	19,34209
22336	19,3636
22386	19,38676
22436	19,40961
22486	19,42977
22536	19,45123
22586	19,47176
22636	19,49543
22686	19,52007
22736	19,53548
22786	19,55682
22836	19,57227
22886	19,599
22936	19,61959
22986	19,64457
23036	19,66163
23086	19,68729
23136	19,71206
23186	19,72696
23236	19,75535
23286	19,77571
23336	19,8009
23386	19,82162
23436	19,84476
23486	19,87257
23536	19,89322
23586	19,91561
23636	19,94052
23686	19,96497
23736	19,98612
23786	20,0078
23836	20,03714
23886	20,05563
23936	20,08246
23986	20,10681
24036	20,1325
24086	20,15738
24136	20,17802
24186	20,20372
24236	20,22774
24286	20,25689
24336	20,27791
24386	20,30447
24436	20,33002
24486	20,35675
24536	20,3841
24586	20,40734
24636	20,43048
24686	20,46275
24736	20,48696
24786	20,51399
24836	20,54128
24886	20,56566
24936	20,5898
24986	20,61829
25036	20,64671
25086	20,67347
25136	20,70238
25186	20,72889
25236	20,75242
25286	20,77803
25336	20,80946
25386	20,83755
25436	20,86685
25486	20,89552
25536	20,92601
25586	20,95314
25636	20,97916
25686	21,00911
25736	21,04296
25786	21,06613
25836	21,09914
25886	21,1295
25936	21,1578
25986	21,18121
26036	21,21918
26086	21,24525
26136	21,2792
26186	21,31687
26236	21,3412
26286	21,37251
26336	21,39954
26386	21,43516
26436	21,4614
26486	21,49519
26536	21,53113
26586	21,55361
26636	21,59394
26686	21,62141
26736	21,66018
26786	21,68458
26836	21,73
26886	21,75973
26936	21,79614
26986	21,82262
27036	21,8661
27086	21,89858
27135	21,94048
27185	21,97546
27235	22,01334
27282	22,04756
27332	22,08511
27381	22,12172
27431	22,16076
27479	22,19995
27525	22,2401
27575	22,27933
27622	22,31994
27672	22,35854
27709	22,39913
27759	22,44168
27804	22,477
27810	22,51724
27818	22,56219
27821	22,59525
27841	22,64396
27891	22,68456
27941	22,72637
27991	22,76884
28041	22,81038
28086	22,85648
28125	22,89974
28173	22,9396
28209	22,99135
28217	23,02942
28267	23,08105
28317	23,12549
28355	23,16688
28394	23,2206
28436	23,26732
28473	23,32009
28516	23,3631
28554	23,41022
28592	23,46051
28626	23,50674
28664	23,55823
28695	23,61083
28733	23,66253
28765	23,71424
28801	23,7646
28837	23,81686
28865	23,86781
28901	23,91865
28933	23,97015
28965	24,02172
28992	24,07057
29023	24,12528
29051	24,17595
29079	24,22843
29111	24,27893
29139	24,33203
29165	24,38552
29194	24,43694
29232	24,48977
29253	24,54235
29282	24,59365
29304	24,64631
29328	24,6993
29353	24,74999
29380	24,80306
29406	24,85433
29430	24,90519
29449	24,95755
29470	25,01165
29491	25,0642
29514	25,11758
29535	25,16996
29556	25,22238
29580	25,27285
29598	25,3244
29617	25,37442
29635	25,42606
29655	25,47837
29671	25,5288
29691	25,57955
29717	25,6333
29730	25,68373
